task_index,task_id,dataset_name,feature_type,n_samples,n_features,main_auroc,agnam_auroc,random_pair_auroc,no_isr_auroc,single_run_auroc,ebm_auroc,catboost_auroc,main_auprc,agnam_auprc,random_pair_auprc,no_isr_auprc,single_run_auprc,ebm_auprc,catboost_auprc,delta_agnam_main_auroc,delta_agnam_main_auprc,delta_agnam_random_auroc,delta_agnam_ebm_auroc,delta_agnam_catboost_auroc
12,7592,adult,mixed,48842,14,0.9164897177811072,0.9171964390456364,0.9161890734907244,0.9180523314435252,0.9165937692506728,0.9313393818237736,0.9281424464618356,0.7929111298791707,0.7933750407620438,0.7931414380462177,0.7950073752035423,0.791344101954736,0.8361598582479831,0.8271948161232834,0.0007067212645291,0.0004639108828731,0.0010073655549119,-0.0141429427781372,-0.0109460074161992
13,3913,kc2,numeric,522,21,0.8701298701298702,0.8701298701298702,0.8701298701298702,0.8701298701298702,0.8593073593073594,0.854978354978355,0.8506493506493507,0.6096476310380055,0.6096476310380055,0.6096476310380055,0.6096476310380055,0.5903471528471529,0.5538943990618631,0.5857543738823644,0.0,0.0,0.0,0.0151515151515152,0.0194805194805195
14,146819,climate-model-simulation-crashes,numeric,540,18,0.765,0.765,0.765,0.76,0.775,0.79,0.8049999999999999,0.6245748299319728,0.6245748299319728,0.6245748299319728,0.7071078431372548,0.7083333333333334,0.7097222222222223,0.7113095238095238,0.0,0.0,0.0,-0.025,-0.0399999999999999
15,9946,wdbc,numeric,569,30,1.0,1.0,1.0,1.0,1.0,1.0,0.9986772486772486,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,0.9978354978354976,0.0,0.0,0.0,0.0,0.0013227513227513
16,15,breast-w,numeric,699,9,0.9945652173913044,0.9927536231884058,0.9945652173913044,0.9927536231884058,0.9936594202898552,0.9945652173913044,0.9918478260869564,0.9888242283079238,0.9843164310369686,0.9888242283079238,0.9843164310369686,0.9866312458517834,0.9899287256624212,0.981865450644812,-0.0018115942028985,-0.0045077972709551,-0.0018115942028985,-0.0018115942028985,0.0009057971014492
17,37,diabetes,numeric,768,8,0.9214814814814816,0.9214814814814816,0.9214814814814816,0.9214814814814816,0.9237037037037036,0.8985185185185185,0.8955555555555554,0.84502781855164,0.84502781855164,0.84502781855164,0.84502781855164,0.8511149943084537,0.8023861509405397,0.765142203190652,0.0,0.0,0.0,0.022962962962963,0.0259259259259261
18,9957,qsar-biodeg,numeric,1055,41,0.942063492063492,0.942063492063492,0.942063492063492,0.942063492063492,0.9472222222222222,0.9507936507936507,0.9448412698412698,0.895591362578243,0.895591362578243,0.895591362578243,0.895591362578243,0.909844222728059,0.9153191843512248,0.9115797602837352,0.0,0.0,0.0,-0.0087301587301588,-0.0027777777777777
19,3918,pc1,numeric,1109,21,0.7774725274725275,0.7211538461538461,0.8104395604395604,0.8475274725274725,0.8598901098901099,0.8021978021978022,0.7980769230769231,0.2829415841234529,0.2810521940936688,0.295337917775806,0.4458447254499886,0.4432382280975631,0.4689058643243938,0.5325508246387922,-0.0563186813186813,-0.0018893900297841,-0.0892857142857143,-0.081043956043956,-0.0769230769230769
20,3902,pc4,numeric,1458,37,0.9340277777777776,0.9340277777777776,0.9340277777777776,0.9340277777777776,0.9340277777777778,0.9344618055555556,0.9440104166666664,0.7392125898667481,0.7392125898667481,0.7392125898667481,0.7392125898667481,0.7361271599102874,0.6926409052254464,0.7481716536215616,0.0,0.0,0.0,-0.0004340277777777,-0.0099826388888888
21,3903,pc3,numeric,1563,37,0.8089539007092199,0.8089539007092199,0.8089539007092199,0.8102836879432623,0.8023049645390071,0.7983156028368794,0.7943262411347518,0.3529644404390269,0.3529644404390269,0.3529644404390269,0.3311984238824872,0.3259952236719518,0.2631931676674513,0.3380667650052933,0.0,0.0,0.0,0.0106382978723404,0.0146276595744681
